rider_id,months_on_zypp,days_worked_per_month,deliveries_per_month,monthly_earnings_inr,earnings_volatility,work_consistency,ev_usage_hours_per_month,missed_payments,on_time_payment_rate,rental_months_completed,loan_amount_inr,loan_term_months,monthly_emi_inr,work_score_rule_based,loan_repaid
R101880,6,10,285,8000,0.378,0.623,83.4,3,0.688,5,71000,24,3313,47.6,0
R101881,9,28,842,23071,0.23,0.85,146.7,2,0.797,4,85000,24,3967,76.9,1
R101882,11,22,384,11046,0.337,0.919,131.6,2,0.806,7,84000,18,5227,63.8,1
R101883,17,16,393,14937,0.369,0.673,86.1,2,0.688,13,65000,36,2022,59.1,1
R101884,31,21,490,13329,0.31,0.776,129.4,2,0.858,28,81000,24,3780,73.1,1
R101885,7,24,637,20853,0.27,0.776,124.7,3,0.794,6,55000,30,2053,67.6,1
R101886,12,21,505,12226,0.377,0.613,122.0,3,0.692,10,89000,24,4153,56.5,0
R101887,4,28,638,20775,0.23,0.82,131.7,0,0.949,2,73000,36,2271,70.5,1
R101888,16,27,710,20015,0.168,0.901,152.8,2,0.86,11,92000,24,4293,84.0,0
R101889,12,21,344,13488,0.327,0.705,106.2,1,0.898,10,85000,36,2644,59.9,1
R101890,3,26,560,10964,0.273,0.774,105.4,1,0.838,2,109000,24,5087,63.2,0
R101891,13,22,466,13549,0.246,0.742,119.6,1,0.84,8,75000,24,3500,67.8,1
R101892,6,23,535,13167,0.298,0.75,109.4,1,0.759,4,90000,18,5600,61.9,0
R101893,9,16,285,8000,0.378,0.792,109.0,1,0.875,5,94000,36,2924,55.5,0
R101894,26,20,362,17008,0.448,0.656,63.4,3,0.644,18,83000,36,2582,57.5,1
R101895,3,22,493,17793,0.128,0.969,139.8,0,0.906,2,64000,24,2987,74.9,1
R101896,16,19,406,15188,0.246,0.771,131.1,1,0.836,14,57000,24,2660,69.3,0
R101897,5,22,513,14745,0.298,0.977,176.6,0,0.908,3,54000,30,2016,68.1,1
R101898,4,21,415,11261,0.269,0.776,124.0,1,0.842,3,104000,24,4853,61.0,0
R101899,7,27,540,9707,0.328,0.778,87.9,2,0.875,6,63000,24,2940,62.9,0
R101900,4,23,653,16410,0.187,0.93,124.8,1,0.903,2,67000,12,6253,75.6,0
R101901,35,19,278,8000,0.322,0.609,114.3,2,0.698,20,82000,24,3827,61.4,0
R101902,3,27,619,14873,0.21,0.871,136.4,0,0.963,2,88000,30,3285,71.7,1
R101903,4,21,525,14690,0.303,0.803,121.1,1,0.866,3,80000,24,3733,62.5,0
R101904,2,20,444,14875,0.289,0.688,95.7,2,0.753,2,80000,36,2489,56.1,1
R101905,6,19,303,8468,0.428,0.74,115.3,1,0.831,4,89000,36,2769,49.6,0
R101906,11,27,622,17653,0.241,0.789,144.4,1,0.797,8,92000,18,5724,71.7,1
R101907,12,21,451,14772,0.332,0.764,103.7,1,0.891,10,69000,24,3220,63.5,0
R101908,13,20,311,8000,0.275,0.571,114.1,3,0.741,10,61000,36,1898,57.3,0
R101909,14,24,628,21498,0.19,0.922,163.4,0,0.917,7,88000,18,5476,80.6,1
R101910,19,16,294,10890,0.41,0.664,101.7,3,0.761,17,78000,24,3640,56.4,0
R101911,27,25,577,11738,0.288,0.772,138.7,1,0.763,21,81000,36,2520,75.4,0
R101912,15,21,509,12137,0.229,0.706,93.7,1,0.802,10,62000,36,1929,70.2,0
R101913,11,21,444,16044,0.515,0.787,108.5,3,0.77,8,96000,12,8960,52.3,1
R101914,5,13,216,8000,0.492,0.595,82.2,3,0.745,4,76000,30,2837,39.3,0
R101915,12,25,642,22558,0.19,0.864,145.9,0,0.913,6,90000,24,4200,78.2,1
R101916,15,18,502,12728,0.288,0.804,127.2,1,0.855,13,84000,24,3920,69.7,1
R101917,9,18,372,11248,0.346,0.696,124.3,3,0.764,7,51000,36,1587,55.7,1
R101918,17,20,474,13706,0.131,0.918,126.7,1,0.928,15,72000,30,2688,82.1,1
R101919,13,24,502,18632,0.167,0.923,111.7,0,0.893,10,70000,30,2613,78.3,0
R101920,6,24,462,10531,0.335,0.757,74.2,2,0.83,3,66000,24,3080,59.1,0
R101921,7,19,456,8867,0.399,0.773,114.7,1,0.847,6,46000,24,2147,56.7,0
R101922,21,21,384,10451,0.193,0.896,172.6,1,0.898,13,102000,24,4760,78.4,1
R101923,2,23,529,11660,0.242,0.827,128.0,1,0.885,1,87000,24,4060,65.5,1
R101924,2,23,560,22135,0.32,0.886,155.8,2,0.849,2,75000,24,3500,63.5,1
R101925,5,27,442,9574,0.26,0.909,136.3,0,0.979,3,58000,30,2165,67.0,1
R101926,37,13,251,8000,0.489,0.623,104.6,2,0.699,23,56000,24,2613,52.3,0
R101927,14,12,233,8889,0.395,0.717,98.1,3,0.708,8,71000,24,3313,52.8,1
R101928,7,14,252,8000,0.483,0.614,51.6,3,0.633,6,77000,24,3593,41.0,0
R101929,14,30,788,22847,0.219,0.924,152.6,1,1.0,10,40000,24,1867,84.1,1
R101930,6,24,507,15833,0.314,0.83,147.4,2,0.934,3,92000,30,3435,64.4,0
R101931,11,23,431,14709,0.236,0.925,130.1,1,0.827,6,81000,30,3024,70.7,0
R101932,7,22,468,9782,0.336,0.776,142.3,3,0.792,5,63000,12,5880,60.1,0
R101933,14,26,691,21277,0.214,0.854,145.6,1,0.86,12,90000,30,3360,78.6,1
R101934,9,25,529,16151,0.177,0.905,169.7,0,0.956,8,86000,24,4013,76.0,1
R101935,7,23,509,15587,0.279,0.951,151.1,2,0.827,4,101000,30,3771,68.6,1
R101936,11,26,562,13670,0.295,0.78,122.0,1,0.819,8,64000,24,2987,67.1,1
R101937,8,25,525,16264,0.247,0.847,97.5,1,0.837,6,77000,36,2396,68.8,0
R101938,8,21,544,11515,0.242,0.893,128.1,1,0.884,7,91000,30,3397,71.2,1
R101939,3,18,322,9643,0.327,0.669,119.0,1,0.864,3,91000,30,3397,52.5,0
R101940,13,17,315,8793,0.395,0.802,105.6,2,0.747,12,93000,24,4340,57.1,0
R101941,44,20,547,11274,0.244,0.865,164.0,1,0.892,40,60000,36,1867,80.6,1
R101942,11,22,581,17810,0.278,0.847,156.0,1,0.917,6,115000,36,3578,71.4,0
R101943,8,16,183,8000,0.424,0.67,100.6,2,0.695,8,68000,36,2116,45.4,0
R101944,8,22,333,9076,0.195,0.994,144.4,1,0.898,4,43000,24,2007,71.4,0
R101945,21,22,542,9307,0.335,0.767,113.2,2,0.831,15,64000,36,1991,70.7,0
R101946,1,18,375,17551,0.085,0.848,144.8,2,0.872,1,63000,24,2940,69.7,0
R101947,11,15,240,8000,0.502,0.74,99.8,2,0.814,9,57000,24,2660,47.5,0
R101948,10,19,268,12083,0.539,0.681,77.5,2,0.758,5,119000,18,7404,43.1,0
R101949,9,28,642,13865,0.292,0.878,144.8,2,0.832,4,57000,30,2128,70.9,1
R101950,11,19,353,9143,0.312,0.733,75.0,2,0.781,9,74000,24,3453,59.3,1
R101951,5,14,272,8000,0.434,0.718,80.2,2,0.719,4,60000,24,2800,46.4,0
R101952,5,17,326,10382,0.228,0.792,108.5,1,0.866,4,84000,36,2613,62.0,1
R101953,3,22,475,13670,0.355,0.843,118.7,1,0.866,2,63000,24,2940,59.0,0
R101954,14,20,442,11926,0.443,0.705,74.9,3,0.69,7,44000,24,2053,54.9,0
R101955,1,27,745,10601,0.154,0.956,152.8,0,0.913,1,67000,36,2084,78.5,0
R101956,12,21,505,16964,0.144,0.867,135.6,2,0.855,7,90000,36,2800,76.8,1
R101957,7,21,426,10971,0.164,0.696,118.5,3,0.781,4,81000,12,7560,65.7,1
R101958,5,27,497,9353,0.292,0.844,134.0,2,0.792,4,83000,36,2582,63.3,0
R101959,11,24,533,14134,0.208,0.83,116.4,2,0.78,6,48000,24,2240,71.9,0
R101960,8,26,579,18012,0.263,0.73,132.5,2,0.802,6,85000,12,7933,65.8,0
R101961,11,22,484,12559,0.326,0.732,97.4,1,0.836,8,79000,24,3687,62.5,0
R101962,5,18,515,8389,0.251,0.792,94.2,1,0.88,3,84000,36,2613,65.7,0
R101963,13,22,538,23133,0.133,0.934,152.9,0,0.979,7,77000,24,3593,81.6,1
R101964,9,28,592,16792,0.264,0.765,129.6,1,0.84,7,72000,30,2688,68.5,1
R101965,17,19,439,10982,0.338,0.793,116.9,2,0.811,12,79000,30,2949,65.8,0
R101966,3,16,364,8000,0.285,0.748,82.1,2,0.826,3,46000,12,4293,57.4,0
R101967,7,28,543,17658,0.311,0.925,144.7,1,0.925,6,92000,18,5724,68.5,1
R101968,7,21,440,11643,0.506,0.735,95.8,2,0.778,4,88000,36,2738,49.0,0
R101969,15,23,676,17091,0.239,0.935,137.5,1,0.823,11,80000,36,2489,79.2,1
R101970,19,21,451,16217,0.409,0.784,121.0,2,0.747,13,80000,12,7467,63.1,0
R101971,11,21,573,18348,0.222,0.807,125.0,1,0.831,8,86000,24,4013,72.4,0
R101972,9,18,445,12799,0.232,0.677,78.2,2,0.832,8,85000,30,3173,64.1,1
R101973,17,15,404,12105,0.34,0.876,102.5,1,0.86,9,54000,24,2520,67.4,1
R101974,8,17,417,12315,0.214,0.688,111.9,1,0.783,4,108000,24,5040,63.4,0
R101975,27,22,495,19876,0.465,0.767,100.0,2,0.683,21,88000,24,4107,63.1,0
R101976,6,16,469,15180,0.181,0.99,160.7,0,0.981,5,99000,24,4620,74.7,0
R101977,2,21,496,15053,0.262,0.855,108.1,1,0.815,1,79000,30,2949,63.5,1
R101978,3,25,711,10942,0.112,0.98,171.2,0,0.986,2,79000,24,3687,82.5,1
R101979,8,25,551,17989,0.25,0.79,112.2,1,0.948,4,71000,30,2651,68.9,1
R101980,35,15,379,8000,0.274,0.759,157.7,2,0.775,20,87000,24,4060,71.0,1
R101981,5,21,457,10938,0.152,0.94,128.2,1,0.89,2,63000,12,5880,73.2,0
R101982,26,18,317,10078,0.321,0.656,91.5,2,0.77,14,69000,24,3220,64.3,0
R101983,11,22,409,11697,0.312,0.856,110.0,1,0.888,6,102000,24,4760,65.3,0
R101984,5,26,752,23969,0.224,1.0,138.8,1,0.866,2,56000,36,1742,78.0,1
R101985,8,18,448,17222,0.212,0.794,122.1,2,0.801,6,80000,24,3733,67.2,0
R101986,18,22,549,15761,0.25,0.893,144.5,2,0.853,10,58000,30,2165,76.8,1
R101987,9,17,334,9736,0.317,0.828,121.4,2,0.826,7,52000,24,2427,60.4,1
R101988,5,25,575,17910,0.215,0.966,130.8,3,0.819,3,70000,30,2613,72.8,1
R101989,8,23,620,27143,0.217,0.731,134.6,1,0.852,7,89000,36,2769,69.9,0
R101990,20,25,593,12161,0.343,0.812,94.6,1,0.746,14,40000,24,1867,71.5,0
R101991,41,23,632,20090,0.196,0.903,160.5,1,0.92,19,90000,24,4200,86.5,1
R101992,17,21,483,15376,0.239,0.913,124.2,2,0.788,15,101000,18,6284,75.2,1
R101993,28,22,446,12975,0.314,0.883,151.7,1,0.968,13,47000,30,1755,75.6,0
R101994,17,24,500,10341,0.233,0.879,144.5,0,0.924,15,91000,18,5662,76.3,1
R101995,17,27,608,20069,0.298,0.992,131.8,2,0.866,8,91000,18,5662,77.7,1
R101996,15,22,560,8646,0.137,0.865,119.9,1,0.868,12,115000,36,3578,80.4,0
R101997,13,25,593,17502,0.306,1.0,178.9,1,0.892,8,52000,24,2427,74.9,1
R101998,6,27,746,17127,0.224,0.954,157.5,1,0.909,3,61000,30,2277,77.8,0
R101999,10,20,449,17281,0.244,0.781,133.9,1,0.894,8,59000,30,2203,67.6,1
R102000,17,23,555,16907,0.345,0.821,138.7,1,0.88,9,71000,12,6627,70.0,1
R102001,13,24,717,21123,0.324,0.995,149.9,0,0.934,8,48000,18,2987,77.4,1
R102002,3,17,393,8000,0.267,0.691,106.5,2,0.781,2,94000,18,5849,56.9,0
R102003,20,18,379,9393,0.111,0.864,113.5,1,0.883,10,77000,30,2875,80.9,1
R102004,15,19,536,12557,0.287,0.666,109.7,1,0.829,7,49000,30,1829,66.9,0
R102005,20,23,589,16519,0.13,0.806,151.1,1,0.954,15,89000,24,4153,84.0,0
R102006,5,24,572,14357,0.162,0.791,131.9,1,0.868,3,103000,18,6409,71.5,0
R102007,3,16,299,13259,0.541,0.582,76.9,2,0.7,1,73000,30,2725,36.6,0
R102008,9,13,321,11109,0.297,0.759,108.6,2,0.771,8,82000,12,7653,58.8,1
R102009,13,22,604,15353,0.178,0.792,123.8,1,0.843,10,64000,30,2389,76.5,1
R102010,25,15,315,8000,0.387,0.702,102.0,2,0.84,13,66000,36,2053,62.7,0
R102011,12,22,622,15074,0.252,0.867,129.7,0,0.963,11,86000,24,4013,75.5,0
R102012,32,28,722,21933,0.32,0.921,125.7,0,0.887,18,75000,12,7000,82.3,1
R102013,7,16,247,8000,0.298,0.75,90.0,2,0.765,7,63000,24,2940,55.8,0
R102014,15,24,586,17139,0.236,0.872,131.4,1,0.869,7,52000,18,3236,76.0,1
R102015,2,21,316,9465,0.438,0.708,86.9,2,0.791,1,93000,24,4340,46.2,0
R102016,18,26,583,13027,0.159,0.99,177.0,0,0.924,10,90000,36,2800,85.7,1
R102017,24,23,607,18693,0.412,0.771,115.0,1,0.834,14,86000,18,5351,70.3,0
R102018,13,25,486,16946,0.199,0.767,146.1,0,0.951,8,109000,18,6782,72.6,1
R102019,4,23,711,17687,0.18,0.98,131.0,0,0.904,2,97000,30,3621,78.6,1
R102020,10,22,577,20049,0.236,0.816,129.6,1,0.932,5,54000,30,2016,72.4,0
R102021,7,22,452,11072,0.301,0.776,140.8,0,0.93,4,74000,18,4604,63.0,1
R102022,8,28,756,20214,0.209,0.967,147.4,0,0.972,7,78000,12,7280,81.0,0
R102023,10,28,676,18518,0.182,1.0,179.5,0,0.845,9,40000,30,1493,81.4,1
R102024,4,21,529,15241,0.156,0.972,143.7,0,0.891,2,46000,24,2147,74.9,0
R102025,12,22,641,18289,0.231,0.791,147.5,0,0.887,6,55000,18,3422,74.3,1
R102026,8,20,364,10359,0.321,0.781,130.5,1,0.891,4,86000,24,4013,59.7,0
R102027,14,23,623,15184,0.227,0.859,145.1,0,0.862,9,86000,36,2676,76.5,1
R102028,14,24,717,16097,0.209,0.823,147.4,0,0.903,12,75000,36,2333,79.4,1
R102029,5,26,497,15706,0.245,0.871,155.1,0,0.928,4,111000,24,5180,67.9,0
R102030,9,26,602,16138,0.241,0.789,104.4,1,0.868,5,76000,24,3547,70.3,0
R102031,8,21,575,12206,0.289,0.74,150.5,1,0.888,6,94000,30,3509,65.9,1
R102032,10,22,617,22085,0.226,0.838,145.0,1,0.905,5,73000,30,2725,74.0,1
R102033,22,21,444,13767,0.244,0.741,137.6,2,0.776,20,71000,30,2651,72.7,0
R102034,7,19,490,11878,0.344,0.667,117.7,2,0.735,6,77000,30,2875,56.5,0
R102035,8,21,703,20038,0.206,0.796,122.7,0,1.0,6,89000,30,3323,76.2,0
R102036,14,22,559,16522,0.137,0.826,129.3,1,0.928,9,96000,30,3584,79.6,1
R102037,11,14,281,8000,0.505,0.496,71.8,4,0.639,9,57000,30,2128,40.2,1
R102038,18,28,687,17567,0.172,0.924,127.1,2,0.865,15,72000,24,3360,85.2,1
R102039,14,26,469,12958,0.278,0.811,125.0,1,0.853,12,59000,24,2753,68.6,1
R102040,8,21,485,14755,0.17,0.956,125.8,0,0.915,4,73000,24,3407,75.7,0
R102041,11,19,438,12786,0.279,0.652,118.3,1,0.829,9,110000,36,3422,62.2,1
R102042,21,26,618,15106,0.401,0.923,122.1,1,0.847,12,86000,18,5351,72.9,1
R102043,4,22,612,18038,0.286,0.766,131.5,2,0.889,3,84000,30,3136,65.2,0
R102044,5,23,558,16503,0.263,0.8,143.8,1,0.83,3,104000,30,3883,65.5,0
R102045,5,23,493,16489,0.163,0.829,125.1,1,0.865,4,56000,18,3484,70.6,0
R102046,9,19,540,15323,0.312,0.648,111.9,2,0.817,6,90000,12,8400,61.1,1
R102047,9,19,424,8922,0.289,0.764,99.7,2,0.804,6,70000,18,4356,62.6,1
R102048,22,26,689,22697,0.281,0.844,142.3,1,0.935,13,56000,30,2091,81.1,1
R102049,7,16,348,9509,0.258,0.891,109.0,1,0.761,4,68000,12,6347,63.8,1
R102050,3,22,453,13531,0.299,0.856,142.3,1,0.878,2,79000,24,3687,62.0,0
R102051,21,29,657,18391,0.182,0.895,122.5,0,0.948,14,72000,18,4480,85.7,1
R102052,7,18,263,8000,0.264,0.648,80.4,2,0.776,6,74000,24,3453,55.3,0
R102053,16,24,408,14971,0.296,0.842,151.6,0,0.92,7,53000,36,1649,69.1,1
R102054,18,25,571,17369,0.242,0.688,148.5,1,0.872,12,113000,24,5273,73.2,0
R102055,12,25,708,22933,0.196,0.805,149.5,2,0.885,8,96000,24,4480,78.1,1
R102056,10,28,588,13388,0.201,0.933,152.6,1,0.887,5,76000,24,3547,76.8,0
R102057,6,26,393,11664,0.292,0.775,121.0,1,0.898,3,102000,18,6347,60.7,0
R102058,6,20,498,9191,0.18,0.948,126.6,0,0.905,3,82000,24,3827,73.6,0
R102059,19,24,526,13829,0.254,0.896,145.1,0,0.942,18,69000,30,2576,77.7,1
R102060,13,20,564,18190,0.212,0.853,110.9,1,0.789,9,65000,12,6067,74.6,0
R102061,19,24,612,24996,0.343,0.81,124.5,1,0.813,17,75000,12,7000,71.7,1
R102062,7,22,504,18783,0.225,0.684,115.6,2,0.752,5,72000,24,3360,64.2,1
R102063,21,11,235,8000,0.307,0.796,97.5,2,0.717,14,80000,24,3733,64.3,0
R102064,26,16,384,13331,0.386,0.76,109.8,1,0.815,16,62000,24,2893,65.6,0
R102065,4,17,312,8000,0.21,0.913,132.0,1,0.922,3,89000,24,4153,65.5,0
R102066,4,16,292,8044,0.33,0.677,109.2,2,0.755,3,78000,30,2912,51.3,0
R102067,17,24,532,13932,0.13,0.64,133.7,1,0.895,9,80000,24,3733,76.0,1
R102068,12,30,606,18059,0.272,1.0,166.6,0,1.0,11,41000,36,1276,77.3,1
R102069,9,18,360,11866,0.278,0.747,137.0,1,0.86,5,78000,30,2912,61.5,1
R102070,18,27,562,15671,0.373,0.666,131.5,1,0.818,17,43000,12,4013,64.9,0
R102071,7,25,697,15080,0.268,0.899,142.8,1,0.844,6,64000,12,5973,72.6,1
R102072,7,24,449,10824,0.142,0.714,154.0,2,0.851,7,66000,18,4107,68.7,1
R102073,4,26,499,12201,0.101,0.929,144.0,1,0.928,4,46000,36,1431,76.7,1
R102074,20,20,513,15276,0.172,0.894,153.5,1,0.881,16,68000,12,6347,81.5,1
R102075,4,23,553,20348,0.342,0.903,120.8,0,0.94,3,44000,18,2738,64.4,1
R102076,18,18,437,11242,0.269,0.816,128.3,1,0.792,16,71000,36,2209,70.8,0
R102077,15,22,526,16630,0.433,0.694,125.0,2,0.813,13,65000,12,6067,59.4,0
R102078,19,18,428,8000,0.195,0.723,128.5,1,0.828,10,95000,30,3547,72.7,0
R102079,5,18,331,10411,0.4,0.758,115.8,2,0.781,4,76000,30,2837,51.2,0
R102080,10,22,514,16950,0.271,0.839,147.7,0,0.846,5,85000,24,3967,68.4,1
R102081,6,22,448,10912,0.267,0.683,100.5,2,0.759,4,62000,24,2893,59.7,0
R102082,25,22,434,15223,0.107,0.868,158.4,3,0.869,18,58000,30,2165,84.8,0
R102083,11,20,504,17155,0.358,0.878,117.1,1,0.892,9,49000,36,1524,65.7,1
R102084,7,22,489,14060,0.244,0.667,129.2,1,0.82,7,57000,24,2660,63.0,0
R102085,6,26,752,20344,0.268,0.96,154.8,0,0.857,4,86000,12,8027,75.0,1
R102086,12,28,506,11618,0.178,0.936,148.0,1,0.949,6,66000,36,2053,77.8,1
R102087,7,24,565,18299,0.323,0.872,127.3,1,0.836,7,90000,24,4200,66.0,1
R102088,8,24,410,11592,0.23,0.938,146.9,2,0.9,4,57000,24,2660,69.7,0
R102089,9,25,496,22648,0.339,0.79,112.3,3,0.772,4,40000,24,1867,62.2,0
R102090,34,23,630,15636,0.324,0.721,122.1,1,0.815,31,85000,24,3967,74.1,1
R102091,11,19,423,13279,0.5,0.682,94.5,2,0.721,5,60000,18,3733,49.4,0
R102092,7,26,719,21187,0.328,0.871,129.2,0,0.856,3,85000,36,2644,69.7,0
R102093,11,18,379,8000,0.394,0.832,122.7,2,0.723,7,52000,18,3236,57.7,1
R102094,6,21,576,19173,0.186,0.918,163.9,2,0.934,4,88000,24,4107,75.0,1
R102095,25,21,434,10063,0.167,0.843,114.0,1,0.877,14,47000,30,1755,81.1,0
R102096,16,15,324,8290,0.283,0.766,132.2,1,0.802,10,67000,24,3127,64.8,0
R102097,4,21,460,11835,0.226,0.855,129.1,1,0.859,4,40000,30,1493,66.2,0
R102098,16,21,601,13909,0.377,0.892,152.2,1,0.78,10,87000,18,5413,69.7,0
R102099,12,26,732,23698,0.374,0.845,93.2,1,0.836,10,49000,24,2287,69.9,0
R102100,14,19,424,11812,0.352,0.892,119.4,4,0.701,11,71000,24,3313,64.6,0
R102101,20,26,510,10774,0.334,0.845,135.2,1,0.9,10,101000,24,4713,72.1,0
R102102,5,23,509,14612,0.398,0.819,118.6,1,0.862,3,49000,36,1524,58.2,1
R102103,10,17,407,11286,0.224,0.829,134.3,1,0.861,6,82000,18,5102,68.0,0
R102104,14,27,654,18030,0.248,0.913,132.4,0,0.936,11,75000,24,3500,78.4,0
R102105,19,23,546,16869,0.265,0.84,105.4,1,0.799,17,83000,30,3099,74.6,1
R102106,16,16,386,13302,0.349,0.773,136.1,1,0.863,12,68000,30,2539,63.2,0
R102107,10,19,384,9880,0.365,0.545,112.6,2,0.746,6,74000,36,2302,51.7,0
R102108,20,24,701,15994,0.197,0.802,101.1,1,0.827,17,62000,12,5787,82.0,0
R102109,9,10,209,10251,0.481,0.719,106.8,2,0.747,4,84000,18,5227,45.2,0
R102110,8,18,493,16043,0.288,0.764,136.5,2,0.898,7,77000,30,2875,64.4,1
R102111,2,28,578,9064,0.301,0.995,127.2,0,0.848,2,92000,36,2862,67.5,0
R102112,4,24,710,18510,0.301,0.947,137.0,0,0.886,4,48000,24,2240,71.4,0
R102113,9,29,712,13802,0.237,0.912,132.1,0,0.914,8,77000,24,3593,77.2,1
R102114,5,24,498,12738,0.191,0.762,124.1,1,0.876,2,77000,24,3593,67.3,1
R102115,3,25,575,15033,0.302,0.765,118.2,1,0.861,3,60000,30,2240,62.2,1
R102116,5,29,733,20173,0.177,0.944,149.8,2,0.92,5,82000,24,3827,79.3,1
R102117,26,19,369,9967,0.451,0.815,137.4,1,0.839,21,83000,24,3873,63.5,0
R102118,4,22,411,12016,0.301,0.815,139.8,1,0.84,2,61000,18,3796,59.8,0
R102119,4,26,490,13718,0.419,0.662,106.7,1,0.851,2,80000,18,4978,52.1,1
R102120,18,23,602,14523,0.255,0.903,153.9,0,0.901,12,54000,18,3360,78.8,0
R102121,14,24,371,11143,0.416,0.8,129.8,1,0.865,8,86000,24,4013,58.9,0
R102122,10,24,692,20983,0.276,0.888,156.7,0,0.871,7,81000,36,2520,74.1,0
R102123,17,19,541,16871,0.276,0.779,134.6,2,0.869,12,102000,24,4760,72.1,0
R102124,11,22,527,11179,0.296,0.835,129.6,0,0.968,8,89000,30,3323,69.2,1
R102125,1,21,498,9083,0.23,0.772,121.4,2,0.769,1,117000,36,3640,62.2,0
R102126,7,22,397,8090,0.479,0.794,93.5,2,0.697,4,88000,18,5476,49.9,0
R102127,37,23,507,15861,0.401,0.741,118.4,1,0.821,21,75000,36,2333,67.5,0
R102128,11,25,647,24045,0.269,0.828,142.3,0,0.912,7,63000,24,2940,72.9,1
R102129,21,17,348,8504,0.281,0.737,116.7,1,0.865,12,68000,36,2116,68.3,0
R102130,22,22,593,17101,0.189,0.901,103.5,1,0.856,14,106000,30,3957,83.9,1
R102131,15,20,578,13569,0.387,0.834,120.0,1,0.846,10,89000,30,3323,67.2,0
R102132,10,21,460,9550,0.278,0.864,142.5,0,0.891,9,48000,24,2240,67.9,0
R102133,6,26,753,17179,0.08,0.893,149.8,0,0.926,4,110000,36,3422,83.9,1
R102134,4,20,440,12341,0.251,0.811,105.4,1,0.849,2,102000,24,4760,63.2,1
R102135,22,17,325,8000,0.25,0.613,89.5,2,0.863,20,60000,18,3733,66.6,0
R102136,13,24,446,22826,0.271,0.718,122.2,1,0.904,11,62000,30,2315,66.4,0
R102137,13,29,384,8222,0.184,0.906,149.5,1,0.925,9,78000,24,3640,74.4,0
R102138,15,24,343,10987,0.333,0.862,123.9,1,0.829,14,78000,18,4853,64.7,0
R102139,8,23,665,21677,0.164,1.0,128.8,1,0.94,4,103000,24,4807,81.7,1
R102140,19,26,703,21934,0.314,0.872,157.0,0,0.866,13,91000,30,3397,77.7,1
R102141,11,16,270,8244,0.331,0.536,66.0,3,0.565,10,75000,36,2333,49.8,0
R102142,9,24,654,21990,0.343,0.749,120.3,1,0.868,7,67000,30,2501,65.4,0
R102143,13,21,316,8000,0.388,0.899,115.4,3,0.763,6,40000,24,1867,60.2,0
R102144,20,29,706,21263,0.126,0.822,138.4,0,0.9,14,61000,36,1898,87.0,0
R102145,8,21,467,13195,0.228,0.833,137.7,1,0.898,4,94000,24,4387,69.0,1
R102146,37,19,480,8000,0.282,0.871,116.8,1,0.767,17,88000,30,3285,75.8,1
R102147,4,25,794,16157,0.105,0.871,149.1,0,0.96,3,77000,12,7187,82.2,0
R102148,15,23,513,15803,0.208,0.97,144.8,0,0.984,13,79000,24,3687,79.3,1
R102149,6,30,761,17639,0.101,0.823,130.5,0,0.895,4,62000,24,2893,81.3,1
R102150,12,21,581,10912,0.246,0.789,146.1,1,0.939,8,43000,24,2007,72.2,1
R102151,17,23,663,20630,0.284,0.713,118.0,1,0.851,14,91000,30,3397,72.6,0
R102152,60,26,761,24312,0.231,0.88,148.9,0,0.918,34,40000,24,1867,87.3,1
R102153,3,18,363,15468,0.252,0.868,118.3,1,0.844,2,85000,18,5289,61.8,0
R102154,5,26,719,27034,0.249,0.748,120.3,2,0.874,4,110000,30,4107,69.6,0
R102155,15,19,372,10292,0.259,0.756,123.1,1,0.836,13,52000,18,3236,66.6,0
R102156,20,28,683,17081,0.08,0.789,157.2,1,0.843,16,75000,30,2800,87.6,1
R102157,8,18,405,9148,0.303,0.801,74.5,1,0.89,4,60000,12,5600,62.2,0
R102158,5,20,396,8000,0.146,0.812,150.0,1,0.855,3,53000,30,1979,68.2,1
R102159,15,16,448,11562,0.341,0.806,111.6,1,0.856,9,47000,18,2924,65.8,0
R102160,7,21,615,22005,0.155,0.866,147.1,1,0.893,3,61000,18,3796,76.3,1
R102161,24,26,665,19329,0.306,0.904,125.2,0,0.857,13,87000,24,4060,80.7,1
R102162,14,18,450,11036,0.337,0.882,130.8,1,0.858,12,79000,18,4916,67.3,0
R102163,15,22,435,14771,0.314,0.772,137.3,1,0.814,12,62000,30,2315,65.5,0
R102164,22,23,573,17019,0.357,0.851,129.5,1,0.877,18,90000,24,4200,73.5,0
R102165,32,21,644,16661,0.08,0.752,149.0,0,0.911,21,79000,24,3687,89.0,1
R102166,5,25,814,22429,0.187,0.902,155.7,0,0.989,3,98000,36,3049,80.1,1
R102167,9,16,318,11441,0.34,0.765,96.2,3,0.685,8,95000,36,2956,55.8,0
R102168,24,29,594,13639,0.154,0.998,153.5,0,0.881,16,68000,24,3173,89.5,1
R102169,11,19,446,11937,0.229,0.77,150.0,0,0.965,8,91000,24,4247,69.3,1
R102170,7,22,500,14666,0.308,0.743,132.8,1,0.803,6,65000,24,3033,61.8,1
R102171,10,19,428,13403,0.197,0.756,113.6,2,0.851,5,56000,36,1742,68.5,1
R102172,31,20,425,14292,0.366,0.81,118.1,2,0.92,29,71000,24,3313,70.0,0
R102173,11,23,562,15399,0.242,0.714,121.8,1,0.839,5,80000,30,2987,68.5,1
R102174,16,25,720,21729,0.231,0.931,156.5,0,0.918,14,73000,12,6813,82.7,1
